Scenario Capacity Slack Demand DistanceTraveled RidingTime WaitingTime Obj ComputationTime
31_29 15 0.16 200 9.17517 105.047 79.3881 193.611 3.66648
31_30 15 0.16 300 12.7916 162.396 1459.15 1634.34 21.7026
31_31 15 0.16 300 12.8308 157.287 1508.41 1678.53 22.071
31_32 15 0.16 300 13.2816 156.557 1567.03 1736.87 23.9742
31_33 15 0.16 400 16.7754 208.936 3852.63 4078.34 86.9295
31_34 15 0.16 400 16.8267 217.438 3958.09 4192.36 74.5481
31_35 15 0.16 400 17.4591 199.495 4107.67 4324.62 83.851
31_36 20 0.16 200 8.78415 106.223 31.1272 146.134 1.66168
31_37 20 0.16 200 8.46617 101.477 33.815 143.758 1.70625
31_38 20 0.16 200 8.42328 104.802 27.5688 140.794 1.8569
31_39 20 0.16 300 11.1113 160.579 519.319 691.009 7.93469
31_40 20 0.16 300 10.8021 154.983 518.1 683.885 7.19346
31_41 20 0.16 300 10.4697 159.026 478.435 647.931 7.29163
31_42 20 0.16 400 14.1821 214.053 2385.19 2613.43 35.9595
31_43 20 0.16 400 14.0644 223.963 2092.39 2330.42 33.5738
31_44 20 0.16 400 13.7329 212.514 2207.75 2434 30.2905
31_45 25 0.16 200 8.34593 103.932 27.598 139.876 1.45159
31_46 25 0.16 200 8.60738 105.912 25.6703 140.189 1.30621
31_47 25 0.16 200 8.42978 103.661 27.2965 139.387 1.15234
31_48 25 0.16 300 10.3357 161.463 219.7 391.498 5.76326
31_49 25 0.16 300 10.3795 159.067 160.785 330.232 5.98061
31_50 25 0.16 300 10.8302 162.83 416.312 589.971 7.49425
31_51 25 0.16 400 13.0929 219.524 1610.52 1843.14 24.5357
31_52 25 0.16 400 13.6399 208.326 1851.9 2073.86 28.264
31_53 25 0.16 400 13.8322 217.543 1808.81 2040.19 27.3904
31_54 15 0.25 200 9.26312 139.994 36.6488 185.906 2.51295
31_55 15 0.25 200 9.47358 130.472 171.297 311.244 2.69335
